district,NP,station,number,lat_station,lon_station,poly_wkt,HubName,HubDist,centroid
Бодайбинский,Хомолхо,Перевоз,30069,59.0,116.917,"POLYGON ((115.655367 58.746564, 115.655386 58.746865, 115.655661 58.747303, 115.656097 58.747659, 115.656606 58.747781, 115.658145 58.747964, 115.659744 58.74823199999999, 115.661276 58.748515, 115.663862 58.749027, 115.665043 58.74924, 115.665753 58.749229, 115.666238 58.749134, 115.666475 58.748836, 115.666654 58.74833599999999, 115.666635 58.748001, 115.66635 58.747881, 115.665099 58.747801, 115.663172 58.747764, 115.661341 58.747679, 115.660669 58.747572, 115.659009 58.74722, 115.658088 58.746942, 115.657234 58.74654899999999, 115.656438 58.74630699999999, 115.655765 58.746216, 115.655471 58.74633, 115.655367 58.746564))",Светлый,42.2967675628555,POINT (115.6611290046498 58.74790413137789)
Бодайбинский,Чара,Перевоз,30069,59.0,116.917,"POLYGON ((118.133533 58.763817, 118.135279 58.764924, 118.137847 58.76635, 118.139148 58.767401, 118.140193 58.76729, 118.142512 58.766869, 118.142602 58.766634, 118.142787 58.766362, 118.143263 58.765756, 118.143548 58.765489, 118.144024 58.765184, 118.143563 58.765038, 118.14236 58.76460299999999, 118.141656 58.76449299999999, 118.138841 58.763676, 118.136561 58.762809, 118.134756 58.762637, 118.133592 58.762881, 118.133533 58.763817))",Перевоз,75.1583746203705,POINT (118.1386345888473 58.76497987280283)
Киренский,Визирный,Витим,30054,59.45,112.583333,"POLYGON ((111.245647 58.89106, 111.25163 58.894243, 111.249556 58.89514699999999, 111.249847 58.895483, 111.250283 58.895763, 111.251806 58.896451, 111.252932 58.89732799999999, 111.253229 58.89845, 111.254141 58.899607, 111.255302 58.90024099999999, 111.25671 58.899995, 111.257469 58.89993699999999, 111.257901 58.89971199999999, 111.259164 58.899541, 111.259526 58.899466, 111.260007 58.89931199999999, 111.259001 58.897549, 111.259953 58.897405, 111.260756 58.89735, 111.259249 58.89491599999999, 111.258836 58.89438, 111.258251 58.893399, 111.256151 58.890234, 111.255656 58.889384, 111.254629 58.887197, 111.253339 58.885774, 111.250725 58.885793, 111.251167 58.886547, 111.250727 58.88723299999999, 111.249321 58.88798199999999, 111.247743 58.889409, 111.245647 58.89106))",Витим,,POINT (111.2537514576243 58.89315005916622)
Киренский,Красноярово,Верхне-Марково,30229,57.3333,107.067,"POLYGON ((107.451129 57.337767, 107.452948 57.338221, 107.454409 57.338454, 107.45497 57.338576, 107.457634 57.338994, 107.458031 57.339107, 107.459944 57.33934799999999, 107.463289 57.33932, 107.466237 57.339175, 107.466302 57.338353, 107.46474 57.338421, 107.459887 57.336517, 107.458138 57.335369, 107.456704 57.33508399999999, 107.455102 57.33515, 107.455012 57.335516, 107.452571 57.336225, 107.451132 57.337332, 107.451129 57.337767))",Верхне-Марково,,POINT (107.4579651522949 57.33752852092717)
Киренский,Улькан,Верхне-Марково,30229,57.3333,107.067,"MULTIPOLYGON (((107.317979 57.241397, 107.318747 57.2407, 107.319216 57.240195, 107.31869 57.240055, 107.317829 57.24009, 107.317211 57.239877, 107.316838 57.240239, 107.31566 57.24021699999999, 107.314056 57.239947, 107.311066 57.239316, 107.310274 57.239069, 107.309949 57.239374, 107.310652 57.239586, 107.312192 57.240194, 107.312126 57.240513, 107.312066 57.240654, 107.312703 57.240914, 107.312561 57.241183, 107.313326 57.24127, 107.313432 57.240976, 107.313723 57.24106099999999, 107.314982 57.241318, 107.315216 57.240983, 107.316645 57.241291, 107.317722 57.24168299999999, 107.317979 57.241397)), ((107.325261 57.24372, 107.324648 57.243315, 107.323366 57.242684, 107.323874 57.242373, 107.324197 57.242012, 107.323355 57.242126, 107.321966 57.24144, 107.321074 57.241972, 107.320547 57.242154, 107.320564 57.242551, 107.320112 57.242813, 107.321325 57.243427, 107.321777 57.243165, 107.322069 57.243305, 107.321096 57.243735, 107.320149 57.243509, 107.319762 57.243733, 107.319927 57.243816, 107.319629 57.243989, 107.320105 57.24422999999999, 107.320455 57.244026, 107.320743 57.24417099999999, 107.321076 57.243979, 107.321629 57.243987, 107.321988 57.244224, 107.32251 57.243998, 107.322081 57.243775, 107.322668 57.2435, 107.32421 57.244253, 107.323792 57.24453099999999, 107.324644 57.244908, 107.324809 57.245145, 107.325848 57.24576099999999, 107.325861 57.24561199999999, 107.326669 57.245297, 107.327458 57.24502, 107.32785 57.24478, 107.326475 57.244224, 107.326216 57.244076, 107.325261 57.24372)))",Верхне-Марково,,POINT (107.3198217558282 57.2422366527687)
Киренский,Алексеевка,Киренск,30230,57.783333,108.1,"POLYGON ((108.371508 57.854986, 108.373396 57.855787, 108.375134 57.856794, 108.376985 57.856823, 108.37904 57.855993, 108.380499 57.856199, 108.385005 57.854403, 108.380499 57.852939, 108.377345 57.852493, 108.374147 57.853351, 108.371508 57.854986))",Киренск,,POINT (108.3778595962231 57.85463978435358)
Киренский,Алексеевск,Киренск,30230,57.783333,108.1,"POLYGON ((108.325953 57.836962, 108.32642 57.838637, 108.329649 57.839312, 108.332652 57.840329, 108.335473 57.841209, 108.339873 57.84185799999999, 108.345459 57.842814, 108.34909 57.84314999999999, 108.352579 57.843596, 108.355635 57.843869, 108.360026 57.843922, 108.363001 57.844261, 108.365951 57.843765, 108.367358 57.843801, 108.372735 57.84466399999999, 108.373445 57.84322599999999, 108.369288 57.841986, 108.368151 57.841567, 108.367887 57.84132, 108.365969 57.840944, 108.36564 57.840826, 108.365735 57.83914799999999, 108.365512 57.838947, 108.366537 57.83737799999999, 108.367477 57.837252, 108.367859 57.837052, 108.368751 57.83602399999999, 108.369141 57.835794, 108.368768 57.835532, 108.368942 57.835093, 108.36704 57.834878, 108.366866 57.835317, 108.366284 57.835168, 108.366547 57.834742, 108.365221 57.83450999999999, 108.364469 57.834593, 108.36201 57.834498, 108.360958 57.834652, 108.35798 57.834532, 108.356824 57.834229, 108.356507 57.834442, 108.355543 57.83412999999999, 108.354938 57.834618, 108.352916 57.834835, 108.348314 57.834311, 108.33581 57.833347, 108.334914 57.83337599999999, 108.333402 57.834218, 108.331971 57.835435, 108.331405 57.836092, 108.329725 57.835766, 108.326602 57.835667, 108.325953 57.836962))",Киренск,,POINT (108.3498118473668 57.83869978671677)
Киренский,Алымовка,Киренск,30230,57.783333,108.1,"POLYGON ((108.570907 57.957818, 108.571446 57.95896699999999, 108.570977 57.95927, 108.571066 57.960137, 108.571736 57.961171, 108.572232 57.96107499999999, 108.572392 57.960835, 108.573988 57.960596, 108.574889 57.962563, 108.574111 57.962982, 108.574633 57.96442, 108.576085 57.96422699999999, 108.576743 57.964161, 108.577029 57.964975, 108.577486 57.966489, 108.579275 57.966296, 108.581306 57.966003, 108.582839 57.966235, 108.583917 57.965824, 108.582553 57.964611, 108.583108 57.964016, 108.584395 57.963916, 108.584739 57.96383299999999, 108.584759 57.962598, 108.584414 57.96237799999999, 108.584261 57.962128, 108.583122 57.961478, 108.58068 57.960421, 108.580072 57.959725, 108.579933 57.959295, 108.577684 57.957833, 108.576741 57.957503, 108.575071 57.957137, 108.574459 57.95714299999999, 108.573239 57.956803, 108.572615 57.95672399999999, 108.570907 57.957818))",Киренск,,POINT (108.577758640367 57.96165383670154)
Киренский,Бубновка,Киренск,30230,57.783333,108.1,"POLYGON ((108.218098 57.75557, 108.21827 57.75705499999999, 108.220533 57.757267, 108.220769 57.75765699999999, 108.222604 57.758133, 108.224836 57.758311, 108.227046 57.758345, 108.227994 57.758152, 108.228112 57.75788799999999, 108.229968 57.757985, 108.232661 57.757882, 108.236009 57.756947, 108.243787 57.75463, 108.246416 57.754177, 108.248894 57.753971, 108.251684 57.753919, 108.254602 57.754137, 108.255331 57.753546, 108.254441 57.753116, 108.253701 57.753059, 108.250804 57.753231, 108.250235 57.751952, 108.247274 57.75183699999999, 108.245053 57.75168799999999, 108.243916 57.752038, 108.243905 57.75259399999999, 108.238777 57.752933, 108.237882 57.751997, 108.237034 57.751979, 108.235371 57.7521, 108.231016 57.754113, 108.231477 57.754698, 108.225243 57.754985, 108.225115 57.75523699999999, 108.220297 57.75550699999999, 108.218098 57.75557))",Киренск,,POINT (108.2348980792943 57.75504777249706)
Киренский,Верхнекарелина,Киренск,30230,57.783333,108.1,"POLYGON ((107.766313 57.866674, 107.774097 57.86848699999999, 107.775227 57.868925, 107.775922 57.868869, 107.775086 57.869464, 107.776359 57.869971, 107.777348 57.87033899999999, 107.778639 57.870482, 107.779045 57.871009, 107.777938 57.871495, 107.778286 57.871829, 107.779111 57.872485, 107.780901 57.87198799999999, 107.78247 57.871592, 107.781207 57.870596, 107.781086 57.870209, 107.781856 57.87000699999999, 107.780433 57.868975, 107.779365 57.869223, 107.775232 57.86704, 107.768052 57.866024, 107.766746 57.865892, 107.766313 57.866674))",Киренск,,POINT (107.7756323410605 57.86882063718129)
Киренский,Вишнякова,Киренск,30230,57.783333,108.1,"POLYGON ((108.852904 58.13283, 108.854139 58.134003, 108.857652 58.13459599999999, 108.859822 58.135261, 108.863826 58.136747, 108.865767 58.135814, 108.868567 58.136914, 108.869781 58.136442, 108.869807 58.135172, 108.865334 58.133979, 108.861664 58.13315, 108.858423 58.13185199999999, 108.855175 58.13073199999999, 108.852904 58.13283))",Киренск,,POINT (108.8609133852522 58.13409310999731)
Киренский,Дарьина,Киренск,30230,57.783333,108.1,"POLYGON ((109.656256 58.315461, 109.656256 58.31567099999999, 109.657257 58.317752, 109.658094 58.317667, 109.658846 58.317605, 109.658399 58.316197, 109.657971 58.315409, 109.65696 58.31532, 109.656256 58.315461))",Киренск,,POINT (109.6575592171468 58.31650652647633)
Киренский,Ичера,Киренск,30230,57.783333,108.1,"POLYGON ((109.770245 58.510864, 109.772509 58.511246, 109.772766 58.512184, 109.771275 58.512302, 109.771177 58.513683, 109.771381 58.514245, 109.773602 58.514615, 109.774299 58.514318, 109.775104 58.513655, 109.776794 58.513483, 109.777796 58.51352, 109.778584 58.513378, 109.777836 58.511778, 109.777102 58.510056, 109.77616 58.508066, 109.775452 58.507875, 109.774819 58.507504, 109.7738 58.507746, 109.773593 58.508658, 109.772971 58.509697, 109.772541 58.510309, 109.770546 58.510337, 109.770245 58.510864))",Киренск,,POINT (109.7745914690088 58.51141907931125)
